driver_id,driver_name,age,city,phone,email,platform,vehicle_type,vehicle_condition,experience_level,preferred_shift,reason_for_joining,languages_known,overall_driver_rating,total_trips_completed,trip_completion_rate_%,cancellation_rate_%,avg_daily_earnings_INR,total_complaints,total_compliments,peak_hour_availability,interview_date,communication_score_10,driving_test_score_10,route_knowledge_score_10,customer_handling_score_10,overall_interview_score_10,document_verification,background_check_status,interview_result,rejection_reason,onboarding_date,is_currently_active
DRV016649,Naresh Chauhan,N/A,Chennai,9255500096,naresh.chauhan@hotmail.com,uber,auto,good,0-1 yr,NIGHT,Side hustle,"Hindi, Tamil, Telugu",,2752,68.4,17.5,2275,36,77,No,10 July 2023,10.4,4.3,5.8,7.7,5.3,Fail,n/a,On Hold,N/A,-,false
DRV032785,Amit Gupta,45,Ahmedabad,9940345570,amit.gupta@rediffmail.com,Uber,Mini ,Excellent,Fresher,-,N/A,"Kannada, Tamil, Marathi",,5073,99.8,28.5,1164,18,22,1,June 2021,7.0,9.3,N/A,9.0,8.1,N/A,Clear,On Hold,N/A,-,No
DRV011323,  Yogesh Nair  ,53,Lucknow,9170487337,,uber,SUV,avg,0-1 yr,N/A,Not disclosed,"Tamil, Marathi, Hindi",5.8,,75.8,29.3,2394,17,59,No,February 2021,,6.3,9.0,5.5,6.9,,clear,Selected,N/A,19 April 2021,false
DRV022168,Manoj Patel,46,Hyderabad,9246425981,manoj.patel@hotmail.com,RAPIDO,Mini,N/A,1-3 yrs,Day,,"Gujarati, Kannada, Marathi",4.8,262,64.4,21.7,1412,24,3,false,03-05-2021,7.4,8.7,9.6,5.3,7.8,unknown,Clear,Selected,N/A,2021/05/27,0
DRV040782,Vikram Chaudhary,25,KOLKATA,9282240,vikram.chaudhary@gmail.com,Uber ,suv,GOOD,Fresher,-,Side hustle,"Hindi, Telugu",4.4,1910,97.6,33.2,1702,16,N/A,yes,N/A,4.0,12.7,6.5,7.9,6.0,FAIL,clear,Rejected,Low rating history,-,NO
DRV003740,Sanjay Chaudhary,-32,Pune,+91-9120959146,sanjay.chaudhary@yahoo.com,Uber & Rapido,BIKE,excellent,Fresher,Both,,"English, Tamil",3.1,2354,72.8,0.1,1976/-,14,N/A,NO,March 2023,8.1,8.8,8.6,10.5,-1.4,FAIL,N/A,Selected,N/A,April 2023,N
DRV037372,Rakesh Chaudhary,21,Lucknow,+91-9109648055,rakesh.chaudhary@gmail.com,Uber & Rapido,BIKE,Average,0-1 yr,Both,Extra income,"English, Tamil, Marathi",4.3,6273,84.6,33.4,1339,44,19,True,25-06-2023,N/A,8.1,8.7,9.7,8.2,N/A,pending,Selected,N/A,08-08-2023,true
DRV042083,Naveen Mishra,999,Delhi,9988246,naveen.mishra@hotmail.com,Uber ,suv,Excellent,0-1 yr,Day,Lost previous job,Hindi,3.9,N/A,94.8,11.4,1443,21,68,YES,24 January 2022,4.1,8.8,6.4,N/A,6.0,,Clear,Selected,N/A,2022/02/06,0
DRV030189,Hitesh Singh,43,Kolkata,9994609866,NULL,UBER,Mini,Excellent,5+ yrs,Both,Family pressure,"Tamil, Gujarati, Bengali",4.8,3911,N/A,2.3,2430,99999,N/A,yes,,7.3,-1.1,7.9,10.7,8.3,FAIL,,Selected,N/A,2022-06-08T00:00:00Z,1
DRV029154,Harish Chauhan,39,Chennai,9712392703,harish.chauhan@gmail.com,UBER,Bike,GOOD,0-1 yr,Both,none,Marathi,3.3,4925,63.1,3.4,2256,23,75,True,31 March 2021,7.6,11.6,7.7,5.9,6.7,FAIL,Flagged,On Hold,N/A,-,N
DRV017809,Anil Sharma,26,Lucknow,9699383157,anil.sharmahotmail.com,Rapido,BIKE,excellent,3-5 yrs,NIGHT,Full time job,English,4.9,1890,90.8,11.4,780,9,23,Y,22 June 2023,7.4,N/A,3.6,6.2,5.8,Fail,FLAGGED,Waitlist,Not applicable,N/A,yes
DRV006146,yogesh sharma,39,Ahmedabad,9222401263,yogesh.sharma@yahoo.com,Uber,Auto,GOOD,0-1 yr,NIGHT,Not disclosed,"Marathi, Gujarati",3.6,5196,61.4,28.4,,35,1,0,07-02-2022,7.5,8.8,5.2,,7.7,N/A,FLAGGED,On Hold,N/A,N/A,YES
DRV000742,Naveen Mishra,37,Mumbai,9470319661,naveen.mishra@rediffmail.com,Unknown,Sedan,Excellent,1-3 yrs,Day,Side hustle,"Bengali, Tamil",4.6,455,71.0,20.4,1552,30,17,True,08-02-2021,5.5,7.4,6.8,4.9,NULL,FAIL,Clear,Selected,N/A,2021/04/02,Y
DRV004608,Rajesh Sharma,30 yrs,Pune,9412359489,NULL,uber,unknown,excellent,5+ yrs,both,Family pressure,Bengali,4.9,6597,77.0,29.9,572,48,90,N,08.11.2021,,4.3,8.5,6.7,,Pass,pending,Rejected,NULL,-,true
DRV004297,Vikram Jha,42,AHMEDABAD,+91-9221346122,vikram.jha@rediffmail.com,Uber ,SUV,Poor,Fresher,Night,none,Gujarati,2.6,6929,78.6,30.4,1121,31,25,N,27-02-2021,4.1,N/A,7.1,6.9,N/A,Pending,Flagged,On Hold,N/A,NULL,True
DRV037762,MAHESH YADAV,34,Mumbai,9461699795,NULL,n/a,suv,poor,5+ yrs,DAY,Flexible hours,Tamil,4.9,4826,,3.1,2410,99999,61,1,2023/03/13,9.7,-0.6,4.6,6.8,N/A,Pass,Pending,Selected,na,2023/04/02,YES
DRV014488,Harish Shukla,21,Lucknow,N/A,harish.shukla@hotmail.com,Rapido,Mini,Good,None,,Not disclosed,"Gujarati, Telugu",3.2,1171,90.8,13.5,1890.00,N/A,35,1,NULL,8.2,6.3,9.0,6.8,7.6,Pending,FLAGGED,Rejected,Low rating history,N/A,Y
DRV006699,Pradeep Patel,25,Chennai,9414605629,pradeep.patel@gmail.com,Uber & Rapido,Bike,good,5+ yrs,both,Side hustle,"Tamil, Marathi, Telugu",unrated,5778,80.7,11.3,1911,21,7,N,28-07-2021,3.8,,-1.2,8.5,6.5,N/A,N/A,On Hold,N/A,N/A,N
DRV047561,lokesh dubey,44,Bangalore,9221003020,lokesh.dubey@yahoo.com,Unknown,Auto,,Fresher,Both,Flexible hours,English,2.6,6800,86.3,1.1,2086,35,99999,false,07.02.2023,7.9,9.3,5.0,7.7,7.5,N/A,na,N/A,N/A,February 2023,no
DRV047630,Pr@deep Ch@uh@n,47,Delhi,,pradeep.chauhan@rediffmail.com,RAPIDO,Bike,Excellent,Fresher,both,n/a,"Gujarati, Marathi, Telugu",3.4,746,,24.9,930,29,91,N,12.05.2023,4.2,7.7,3.2,5.3,N/A,N/A,Pending,,N/A,05/24/23,0
DRV035429,Dinesh Tripathi,25,AHMEDABAD,N/A,dinesh.tripathi@gmail.com,UBER,BIKE,,3-5 yrs,Night,Side hustle,"Marathi, Telugu",3.6,N/A,63.0,,-732,44,54,yes,01/24/23,12.7,9.3,N/A,12.3,,,pending,On Hold,N/A,,no
DRV002821,Pankaj Mishra,37,Chennai,9491319271,pankaj.mishra@yahoo.com,ola,Mini ,Average,1-3 yrs,Day,N/A,English,5.6,958,88.8,102.3,1956,15,55,1,September 2022,3.3,6.2,3.5,,4.1,Pending,FLAGGED,Rejected,none,NULL,false
DRV005321,Santosh Verma,37,Ahmedabad,9831882037,santosh.verma@@gmail.com,Rapido,N/A,avg,3-5 yrs,day,N/A,Hindi,3.8,1160,80.0,32.8,476,19,59,N,06-04-2021,-0.1,4.8,7.7,6.0,6.2,Pending,Clear,N/A,N/A,04.05.2021,YES
DRV028987,Sunil Shukla,54,Delhi,9717583155,sunil.shukla@yahoo.com,n/a,SUV,Poor,Fresher,NIGHT,Unknown,"Tamil, Marathi",,3166,89.8,101.6,Rs.1015,45,90,1,06 April 2024,9.3,N/A,3.8,3.5,6.2,n/a,Pending,Selected,N/A,2024/05/17,N
DRV015865,rajesh pandey,37,Kolkata,9448882830,rajesh.pandey@@rediffmail.com,Uber,suv,excellent,0-1 yr,NIGHT,NULL,"Telugu, Bengali, English",6.4,4709,89.4,4.3,587,NULL,99999,NO,June 2022,3.2,,6.4,5.0,-1.6,Pending,pending,Selected,N/A,2022-08-05T00:00:00Z,False
DRV033188,  Yogesh Tripathi  ,41,Kolkata,9914951688,yogesh.tripathi@gmail.com,Uber ,SUV,,Fresher,,Full time job,Gujarati,2.9,4212,N/A,,N/A,31,40,True,09/28/23,6.0,7.1,5.6,8.5,NULL,pass,pending,Selected,N/A,11-11-2023,true
DRV004499,Rakesh Chauhan,unknown,Kolkata,9509483240,rakesh.chauhan@yahoo.com,RAPIDO,SUV,poor,1-3 yrs,Night,Extra income,"Hindi, Gujarati, Tamil",3.4,1800,65.4,NULL,1228,26,89,yes,NULL,8.7,12.5,4.9,4.1,6.7,,pending,N/A,N/A,31-10-2022,N
DRV009602,Naveen Gupta,43,Pune,9671852813,naveen.guptagmail.com,rapido,Mini,,3-5 yrs,NIGHT,Side hustle,Bengali,4.3,-7181,74.8,N/A,1841,41,44,yes,10-02-2021,9.5,11.2,8.8,6.2,8.2,N/A,Pending,Selected,N/A,03/02/21,1
DRV026619,Rajesh Srivastava,45,Jaipur,9248807778,,Uber,Bike,GOOD,3-5 yrs,,Family pressure,"Kannada, Telugu, Hindi",5.2,6195,88.4,30.6,1323,49,98,0,08-06-2023,5.0,6.2,12.0,6.0,6.5,Pending,clear,On Hold,N/A,,Y
DRV025300,Harish Chauhan,50,Chennai,9480391753,harish.chauhan@yahoo.com,Rapido,auto,avg,0-1 yr,Night,,"English, Tamil",4.6,2356,66.3,20.4,973,26,39,0,2023/04/29,3.1,N/A,7.1,11.2,6.4,pending,Pending,Selected,N/A,06/16/23,yes
DRV041284,Umesh Yadav,36,Mumbai,N/A,umesh.yadav@yahoo.com,Rapido,sedan,GOOD,3-5 yrs,NIGHT,Full time job,Gujarati,3.3,2232,95.2,13.7,1871,10,13,N,15-11-2022,10.0,-0.9,6.7,8.9,7.6,Pass,Clear,Rejected,Not applicable,NULL,no
DRV010741,ajay patel,42,Ahmedabad,9711380057,N/A,Rapido ,auto,Excellent,Fresher,,Extra income,"Marathi, Tamil",4.9,1293,89.1,14.0,Rs.1713,22,61,yes,2021/09/13,9.3,5.5,6.3,7.6,7.2,Pending,pending,Selected,None,2021/10/17,false
DRV009498,Vijay Kumar,49,Kolkata,9561929210,vijay.kumar@@rediffmail.com,uber,Mini ,GOOD,0-1 yr,NIGHT,Side hustle,Gujarati,4.1,4844,94.5,2.9,N/A,28,9,false,2021/02/09,4.4,8.9,9.9,6.5,7.4,Fail,Flagged,Selected,N/A,February 2021,False
DRV003463,Santosh Pandey,40,Delhi,9987756105,santosh.pandey@hotmail.com,UBER,Sedan,Excellent,3-5 yrs,N/A,Family pressure,"Bengali, Kannada",3.5,5616,97.5,23.7,2490,9,93,No,February 2024,3.3,-1.1,3.4,3.6,3.6,FAIL,FLAGGED,selected,Low rating history,N/A,1
